Product Name,Sizes,Sizes Group,Sizes Group Count
כפפות ריתוך 35 ס”מ,one size,700455345798571475,877
קסדת מגן תיקנית דגם CLIMAX,one size,700455345798571475,877
רצועות אפוד עם פס מחזיר אור - צהוב,one size,700455345798571475,877
מסכת ריתוך ראש BLUE EAGLE,one size,700455345798571475,877
מסכת FFP3,one size,700455345798571475,877
"מנעול 50 מ""מ",one size,700455345798571475,877
"מנעול 38 מ""מ",one size,700455345798571475,877
נעל ספיידר 02,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
סינר ניילון חד פעמי (1000 יחידות),one size,700455345798571475,877
שרוול מגן מפני חיתוך,one size,700455345798571475,877
חלוק מעבדה לא ארוג עם סקוץ',one size,700455345798571475,877
סרבל חד פעמי+כובע אטום,one size,700455345798571475,877
קרטון כיסוי נעליים (1000 יחידות בקרטון),one size,700455345798571475,877
קרטון כיסוי ראש חד פעמי (1000 יח' בארגז),one size,700455345798571475,877
דלי 10 ליטר+מכסה,one size,700455345798571475,877
מכונת תספורת מקצועית מפוארת,one size,700455345798571475,877
אולר מקצועי + ביטים,one size,700455345798571475,877
כונן קשיח 1 TB,one size,700455345798571475,877
מסכה תלת שכבתית חד פעמי - מארז 50 יחידות,one size,700455345798571475,877
כפפות ניטריל ללא אבקה,"XL, L, M, S",8867857036876642248,2
כפפות לטקס עם אבקה,"XL, L, M, S",8867857036876642248,2
סכין יפני+להב חלופי,one size,700455345798571475,877
סכין יפני - מארז 12 יחידות,one size,700455345798571475,877
מגן פנים,one size,700455345798571475,877
שרוול ריתוך,one size,700455345798571475,877
תיק רחצה מותאם להדפסה,one size,700455345798571475,877
חלוק מגבת 100% כותנה,"one size, 3XL, 2XL, XL, L, M, S",-3250627405584563857,1
תיק שרוך דוגמאות,one size,700455345798571475,877
סרבל חד פעמי TYPE 4/5/6,XL,-3346039941880504145,1
"פילטר למסכת אב""כ",one size,700455345798571475,877
"מסכת אב""כ פנורמית",one size,700455345798571475,877
"סרבל חד""פ + כובע צבע לבן - 50 בקרטון","3XL, 2XL, XL, L, M, S",1285580055941491199,10
